team_abbreviation_home,team_abbreviation_away,lambda_h,actual_home_pts,home_error,lambda_a,actual_away_pts,away_error,home_win
BOS,MEM,113.6011,121.0,7.398902893066406,108.44251,127.0,18.55748748779297,0
WAS,DEN,112.41164,122.0,9.588363647460938,117.17723,113.0,-4.1772308349609375,1
LAL,POR,112.55651,107.0,-5.556510925292969,108.37577,98.0,-10.375770568847656,1
CHI,PHI,107.9653,100.0,-7.965301513671875,114.36882,108.0,-6.368820190429688,0
SAC,UTA,115.42517,141.0,25.5748291015625,113.284004,97.0,-16.28400421142578,1
ORL,PHX,109.72707,115.0,5.272926330566406,105.46786,110.0,4.532142639160156,1
LAC,HOU,104.86424,106.0,1.1357574462890625,106.54914,117.0,10.45085906982422,0
BKN,MIL,108.69872,113.0,4.301277160644531,110.3689,118.0,7.631103515625,0
ATL,DEN,114.70608,111.0,-3.7060775756835938,114.87231,141.0,26.12769317626953,0
WAS,MEM,109.21291,112.0,2.7870864868164062,117.47996,140.0,22.520042419433597,0
BOS,DET,117.49088,123.0,5.509117126464844,106.46864,99.0,-7.468643188476562,1
MIA,TOR,108.56073,114.0,5.43927001953125,106.07318,104.0,-2.07318115234375,1
UTA,PHX,113.417725,126.0,12.582275390625,115.52373,134.0,18.47627258300781,0
MEM,BKN,119.02109,135.0,15.978912353515623,109.103966,119.0,9.896034240722656,1
CLE,WAS,116.46944,115.0,-1.4694366455078125,104.63308,105.0,0.3669204711914062,1
IND,NOP,116.18854,119.0,2.81146240234375,109.14544,104.0,-5.145439147949219,1
LAL,MEM,110.53938,116.0,5.460617065429688,109.164696,110.0,0.8353042602539062,1
SAS,MIN,109.51302,92.0,-17.513023376464844,111.07091,106.0,-5.0709075927734375,0
WAS,BOS,104.511314,98.0,-6.511314392089844,118.252525,112.0,-6.252525329589844,0
PHX,POR,114.4267,116.0,1.57330322265625,108.215744,109.0,0.7842559814453125,1
CHA,PHI,102.83015,108.0,5.169853210449219,109.420944,121.0,11.579055786132812,0
DET,MIA,103.21366,125.0,21.786338806152344,110.16236,124.0,13.837638854980469,1
DET,UTA,113.4992,119.0,5.500801086425781,113.3523,126.0,12.647697448730469,0
